station_id,status,reason,waveform_path,stationxml_path
NZ.MSZ.10,loaded,,2026p530771\raw\waveforms\NZ.MSZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.MSZ.10.HH.xml
NZ.MLZ.10,loaded,,2026p530771\raw\waveforms\NZ.MLZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.MLZ.10.HH.xml
NZ.DCZ.10,loaded,,2026p530771\raw\waveforms\NZ.DCZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.DCZ.10.HH.xml
NZ.WHZ.10,loaded,,2026p530771\raw\waveforms\NZ.WHZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.WHZ.10.HH.xml
NZ.WKZ.10,loaded,,2026p530771\raw\waveforms\NZ.WKZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.WKZ.10.HH.xml
NZ.EAZ.10,loaded,,2026p530771\raw\waveforms\NZ.EAZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.EAZ.10.HH.xml
NZ.PYZ.10,loaded,,2026p530771\raw\waveforms\NZ.PYZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.PYZ.10.HH.xml
NZ.TUZ.10,loaded,,2026p530771\raw\waveforms\NZ.TUZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.TUZ.10.HH.xml
NZ.APZ.10,loaded,,2026p530771\raw\waveforms\NZ.APZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.APZ.10.HH.xml
NZ.SYZ.10,loaded,,2026p530771\raw\waveforms\NZ.SYZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.SYZ.10.HH.xml
NZ.LBZ.10,loaded,,2026p530771\raw\waveforms\NZ.LBZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.LBZ.10.HH.xml
NZ.ODZ.10,loaded,,2026p530771\raw\waveforms\NZ.ODZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.ODZ.10.HH.xml
NZ.FOZ.11,loaded,,2026p530771\raw\waveforms\NZ.FOZ.11.HH.mseed,2026p530771\raw\stationxml\NZ.FOZ.11.HH.xml
NZ.OPZ.10,loaded,,2026p530771\raw\waveforms\NZ.OPZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.OPZ.10.HH.xml
NZ.FRNZ.10,loaded,,2026p530771\raw\waveforms\NZ.FRNZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.FRNZ.10.HH.xml
NZ.CVZ.10,loaded,,2026p530771\raw\waveforms\NZ.CVZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.CVZ.10.HH.xml
NZ.WHSZ.10,loaded,,2026p530771\raw\waveforms\NZ.WHSZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.WHSZ.10.HH.xml
NZ.WVZ.10,loaded,,2026p530771\raw\waveforms\NZ.WVZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.WVZ.10.HH.xml
NZ.INZ.10,loaded,,2026p530771\raw\waveforms\NZ.INZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.INZ.10.HH.xml
NZ.MQZ.13,loaded,,2026p530771\raw\waveforms\NZ.MQZ.13.HH.mseed,2026p530771\raw\stationxml\NZ.MQZ.13.HH.xml
NZ.LTZ.10,loaded,,2026p530771\raw\waveforms\NZ.LTZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.LTZ.10.HH.xml
NZ.GVZ.10,loaded,,2026p530771\raw\waveforms\NZ.GVZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.GVZ.10.HH.xml
NZ.DSZ.10,loaded,,2026p530771\raw\waveforms\NZ.DSZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.DSZ.10.HH.xml
NZ.KHZ.10,loaded,,2026p530771\raw\waveforms\NZ.KHZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.KHZ.10.HH.xml
NZ.THZ.10,loaded,,2026p530771\raw\waveforms\NZ.THZ.10.HH.mseed,2026p530771\raw\stationxml\NZ.THZ.10.HH.xml
