network,station,location,channelcode,component,distance_km,azimuth_deg,fmin_hz,fmax_hz,used,weight,variance_reduction
NZ,MSZ,10,HH,Z,44.978367898572785,25.52991286321848,0.02,0.05,False,1.0,
NZ,MSZ,10,HH,N,44.978367898572785,25.52991286321848,0.02,0.05,False,1.0,
NZ,MSZ,10,HH,E,44.978367898572785,25.52991286321848,0.02,0.05,False,1.0,
NZ,MLZ,10,HH,Z,50.02574070651523,136.87898237000144,0.02,0.05,False,1.0,
NZ,MLZ,10,HH,N,50.02574070651523,136.87898237000144,0.02,0.05,True,1.0,0.8764132811754837
NZ,MLZ,10,HH,E,50.02574070651523,136.87898237000144,0.02,0.05,False,1.0,
NZ,DCZ,10,HH,Z,62.935584903267035,221.0421644790519,0.02,0.05,True,1.0,0.968576125231184
NZ,DCZ,10,HH,N,62.935584903267035,221.0421644790519,0.02,0.05,True,1.0,0.8511762436958923
NZ,DCZ,10,HH,E,62.935584903267035,221.0421644790519,0.02,0.05,True,1.0,0.9488516693404401
NZ,WHZ,10,HH,Z,97.10967629134143,167.76718749319016,0.02,0.05,True,1.0,0.8991262770278381
NZ,WHZ,10,HH,N,97.10967629134143,167.76718749319016,0.02,0.05,True,1.0,0.9513659615793995
NZ,WHZ,10,HH,E,97.10967629134143,167.76718749319016,0.02,0.05,True,1.0,0.8338207298842539
NZ,WKZ,10,HH,Z,108.02702569210705,77.88773976896022,0.02,0.05,True,1.0,0.8982470828258914
NZ,WKZ,10,HH,N,108.02702569210705,77.88773976896022,0.02,0.05,True,1.0,0.85191901949137
NZ,WKZ,10,HH,E,108.02702569210705,77.88773976896022,0.02,0.05,True,1.0,0.940925113250028
NZ,EAZ,10,HH,Z,129.69827190979836,100.0565219423753,0.02,0.05,True,1.0,0.7231939986645289
NZ,EAZ,10,HH,N,129.69827190979836,100.0565219423753,0.02,0.05,True,1.0,0.9363314022852034
NZ,EAZ,10,HH,E,129.69827190979836,100.0565219423753,0.02,0.05,True,1.0,0.5383808919853421
NZ,PYZ,10,HH,Z,147.65683059918726,211.58154538781423,0.02,0.05,True,1.0,0.9445659298226576
NZ,PYZ,10,HH,N,147.65683059918726,211.58154538781423,0.02,0.05,True,1.0,0.8676374072425097
NZ,PYZ,10,HH,E,147.65683059918726,211.58154538781423,0.02,0.05,True,1.0,0.9093261081215771
NZ,TUZ,10,HH,Z,183.17915701112102,124.41906764635996,0.02,0.05,True,1.0,0.5847253030588657
NZ,TUZ,10,HH,N,183.17915701112102,124.41906764635996,0.02,0.05,True,1.0,0.84139233285514
NZ,TUZ,10,HH,E,183.17915701112102,124.41906764635996,0.02,0.05,True,1.0,0.9034228336580885
NZ,APZ,10,HH,Z,200.70638128449764,173.299568521253,0.02,0.05,True,1.0,0.9063490851762604
NZ,APZ,10,HH,N,200.70638128449764,173.299568521253,0.02,0.05,True,1.0,0.5801493655876117
NZ,APZ,10,HH,E,200.70638128449764,173.299568521253,0.02,0.05,True,1.0,0.5490881483044802
